Date,Close,High,Low,Open,Volume
03-01-12,21.03921318,21.18853786,20.74056083,20.86630872,64731500
04-01-12,21.534338,21.58935249,21.04706549,21.0785017,80516100
05-01-12,21.75439262,21.79368825,21.44788252,21.51861435,56081400
06-01-12,22.09234047,22.15521438,21.63650427,21.63650427,99455500
09-01-12,21.80155373,22.08448713,21.78583487,22.04518999,59706800
10-01-12,21.88014793,22.12378422,21.80941458,21.95088129,60014400
11-01-12,21.78583336,21.99017397,21.5107609,21.55791596,65582400
12-01-12,22.00589561,22.02161447,21.73082162,21.90372604,49370800
13-01-12,22.2023735,22.2023735,21.84084885,21.95087783,60196100
17-01-12,22.2102356,22.5167458,22.13950224,22.32026459,72395300
18-01-12,22.18665123,22.32025847,21.98231065,22.24952514,64860600
19-01-12,22.10020638,22.35170208,22.02947302,22.13164259,74053500
20-01-12,23.34982109,23.37339937,22.59533413,22.65034862,165902900
23-01-12,23.36554146,23.53844586,23.06689073,23.22407477,76078100
24-01-12,23.05902863,23.23979093,22.93328081,23.16119817,51703300
25-01-12,23.23193169,23.30266502,22.8468288,22.8468288,59231700
26-01-12,23.18478203,23.34196759,23.10618925,23.27123424,49102800
27-01-12,22.97258377,23.20836213,22.9254287,23.1454882,44187700
30-01-12,23.2712307,23.27909012,22.6582089,22.76823787,51114800
31-01-12,23.20836067,23.34196795,22.97258232,23.31053024,50572400
01-02-12,23.49129677,23.61704464,23.38912718,23.41270547,67409900
02-02-12,23.53844452,23.71134741,23.34982128,23.49914739,52223300
03-02-12,23.76636314,23.89211098,23.64847474,23.68777037,41838500
06-02-12,23.73492813,23.75064549,23.5541643,23.60918029,28039700
07-02-12,23.852808,23.96283694,23.61702976,23.6956225,39242400
08-02-12,24.09645081,24.10431023,23.75064352,23.78208123,49659100
09-02-12,24.18290138,24.20647816,23.95498252,24.11216805,50481600
10-02-12,23.97070503,24.20648186,23.86067605,24.08073402,44605300
13-02-12,24.03357697,24.18290308,23.91568856,24.0728726,33319800
14-02-12,23.93074036,24.09687039,23.61430112,23.9940282,59644000
15-02-12,23.77251625,24.04148994,23.75669542,23.99402444,43311300
16-02-12,24.75348282,24.95916718,23.97029366,23.97820483,94705100
17-02-12,24.72183609,24.77721276,24.48450707,24.68228176,70036500
21-02-12,24.87214279,25.00662963,24.64272345,24.66645695,50829900
22-02-12,24.73765945,25.06200984,24.66646044,24.88005748,49253200
23-02-12,24.81676865,24.99080983,24.52406144,24.6822818,35034700
24-02-12,24.90379524,24.91961758,24.71393167,24.90379524,35575400
27-02-12,24.80095291,24.91961745,24.60317817,24.71393154,34568400
28-02-12,25.21231842,25.25978392,24.8246787,24.8484122,45230600
29-02-12,25.10946846,25.31515427,25.00662631,25.22813294,59323600
01-03-12,25.54457664,25.6236853,25.19649281,25.25978064,77344100
02-03-12,25.37844849,25.66324149,25.31515914,25.56040083,47314200
05-03-12,25.15694046,25.35471515,25.01454395,25.32307048,45240000
06-03-12,24.96708298,25.2993446,24.91170629,24.95126214,51932900
07-03-12,25.18857765,25.25186547,24.94333753,25.05409084,34340400
08-03-12,25.32307243,25.4812928,25.23605259,25.34680745,36747400
09-03-12,25.30724335,25.44173017,25.25186669,25.39426316,34628400
12-03-12,25.34679985,25.47337551,25.17275719,25.29142168,34073600
13-03-12,25.84519958,25.86102193,25.43383081,25.50502983,48951700
14-03-12,25.92430687,26.01132822,25.70280018,25.73444184,41986900
15-03-12,25.98759079,26.05878979,25.7739968,25.9401268,49068300
