Date,Close,High,Low,Open,Volume
2012-04-03,25.26769829,25.4654715,25.04619006,25.4417395,42752100
2012-04-04,24.69018936,25.06991788,24.56361369,25.04618438,49455900
2012-04-05,24.93542862,25.02244844,24.56361131,24.64272147,50368600
2012-04-09,24.60317039,24.84049941,24.50032672,24.6981014,31056400
2012-04-10,24.10477829,24.67437035,23.97029144,24.57152667,54131300
2012-04-11,24.00984192,24.1522399,23.91490943,24.07312974,43014000
2012-04-12,24.50823975,24.55570676,24.06522485,24.11269036,38304000
2012-04-13,24.37375069,24.65063554,24.30255168,24.43703852,39749200
2012-04-16,24.58735466,24.67437603,24.34211441,24.51615564,38124800
2012-04-17,24.87214661,25.00663346,24.68228308,24.73765975,34361500
2012-04-18,24.63481712,24.76930399,24.55570845,24.74557199,40552900
2012-04-19,24.53196907,25.06200522,24.47659241,24.62690006,54781200
2012-04-24,25.25187302,25.72653258,25.18067401,25.48129088,40871100
2012-04-26,25.40218163,25.49711263,25.25187244,25.41009129,40308100
2012-04-27,25.29933357,25.48919857,25.22022341,25.4100869,41419100
2012-04-30,25.33098602,25.40218504,25.25187583,25.29934134,35697200
2012-05-01,25.32307243,25.5841365,25.27560843,25.35471711,43832300
2012-05-02,25.15693474,25.2597784,25.03035908,25.19649057,37385300
2012-05-03,25.12529182,25.23604515,25.00662734,25.22022281,31501300
2012-05-04,24.50823975,24.97498815,24.46077424,24.88005714,57927200
2012-05-07,24.2471714,24.41330289,24.18388358,24.28672724,48641400
2012-05-08,24.12851143,24.35001962,23.86744891,24.11268909,46328300
2012-05-09,24.33419228,24.38956893,23.81206734,23.88326633,50309300
2012-05-10,24.31838226,24.53989052,24.08896435,24.4133148,43839200
2012-05-11,24.65063858,24.95125697,24.27882269,24.27882269,43459300
2012-05-14,24.27091599,24.55571209,24.2392713,24.38166936,40528900
2012-05-16,23.80905724,24.14349891,23.68165103,24.13553583,60083700
2012-05-17,23.66572762,24.05590936,23.65776454,23.88072618,48484000
2012-05-18,23.30739594,23.73739151,23.22776667,23.72146687,56205300
2012-05-21,23.68962288,23.7214752,23.14018246,23.17203478,38787900
2012-05-22,23.69758606,23.79313999,23.49055052,23.64184601,39504900
2012-05-24,23.14813805,23.33128429,22.9012887,23.21980423,52575000
2012-05-25,23.14017487,23.37906265,23.10036099,23.25165644,29507200
2012-05-29,23.53832626,23.66573251,23.26758761,23.39499386,37758800
2012-05-30,23.36313438,23.47461443,23.18795124,23.37109746,41585500
2012-05-31,23.24369621,23.42684247,23.04462379,23.33128704,39134000
2012-06-01,22.65443802,23.06054435,22.64647494,22.90128735,56634300
2012-06-04,22.73407364,22.91722145,22.55092735,22.7898152,47926300
2012-06-05,22.7022171,22.89332643,22.60666168,22.7022171,45715400
2012-06-06,23.37110138,23.38702754,22.94110424,22.99684427,46860500
2012-06-07,23.27554321,23.64980027,23.22776627,23.60202181,37792800
2012-06-08,23.60998726,23.63387649,23.13221318,23.2596194,42551100
2012-06-11,23.01276779,23.73739116,22.94906469,23.67368806,46361900
2012-06-12,23.3233242,23.33128576,22.96499326,23.17202875,35337900
2012-06-13,23.19592285,23.4427738,23.13221972,23.26758906,32984600
2012-06-14,23.36313438,23.45868827,22.99684042,23.35517131,39458900
